Intended Action,Saying,Key Words Parsed
Wave,wave,
Say Hello,say hello,
Say Hello,say hi,
High Five,give me a high five,
High Five,up top,
High Five,high five me,
Hand out water bottle,give me a water bottle,
Hand out water bottle,get me a water bottle,
Hand out water bottle,hand me a water bottle,
Hand out water bottle,get me a bottle of water,
Hand out water bottle,give me a bottle of water,
Hand out water bottle,hand me a bottle of water,
Hand out tags,give me a tag,
Hand out tags,get me a tag,
Hand out tags,hand me a tag,
Play a game,Play a game,
Play Rock Paper Scissors,Play Rock Paper Scissors,
Play Rock Paper Scissors,I challenge you to Rock Paper Scissors,
Play High Low,Play the High Low Game,
